Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Access to electricity (% of population),EG.ELC.ACCS.ZS,IDA total,IDA,..,36.3628571586588,54.5223994493809,58.3948761048664,60.3179355432413,61.3544488370868,62.769644320149,63.9370743593769,65.598211852635,66.1569043335558,67.5014937828868,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Late-demographic dividend,LTE,..,95.2513038887096,98.7803025039947,99.1164140922572,99.2721741521305,99.2807572971817,99.3290603456492,99.3869408855182,99.4116997820502,99.4771881862167,99.4571757576784,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Latin America & Caribbean,LCN,..,91.7360864277566,97.2847276074314,97.4783821342287,97.7105992174177,97.756715207991,97.9982113870485,98.1499927593075,98.2756263670975,98.5788713656589,98.4226204748397,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Latin America & Caribbean (excluding high income),LAC,..,91.0752933457569,97.0444842543207,97.2783725152738,97.5494520001496,97.5550235798694,97.83219501534,97.9857774825804,98.1210875680183,98.4626020716217,98.2687443423624,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Latin America & the Caribbean (IDA & IBRD countries),TLA,..,91.5465023715452,97.2323920529293,97.4280893456675,97.6633402843345,97.7078847938323,97.9522021469941,98.106453253093,98.2338083621938,98.5448799242171,98.3852491204833,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Least developed countries: UN classification,LDC,..,20.2280542447191,42.3127281274977,46.3458332429442,50.2044940868735,51.0874202600401,52.8787122662405,54.4736840146264,56.1055373553461,56.7383129284796,58.4341452966049,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Low & middle income,LMY,..,73.562125845165,85.0407298728813,86.2060872767977,87.2282354384385,88.327136631984,88.6908340811204,89.0162880643788,90.1524934389007,90.0932695913657,90.4920711750527,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Low income,LIC,..,16.631872272008,33.0702183882953,36.4336124161591,38.1792563861523,39.6838027900568,40.7021444975815,41.7368456716846,43.015465793649,43.0060882829376,45.2721918756793,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Lower middle income,LMC,..,58.1811157959563,80.658695354603,82.7167145232316,84.659238704957,86.9121805698534,87.6135221862236,88.3804143922632,90.555734236785,90.5768405981587,91.2680749757223,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Middle East, North Africa, Afghanistan & Pakistan",MEA,..,82.5699139042888,93.4360655461117,95.158764819742,96.0012431691978,94.9706861712286,96.0087072984601,96.2621204422818,96.4166690553693,95.8637945014964,96.4226367435274,..
